id,character,media_type,name,first_credit_air_date,popularity,vote_average,vote_count,episode_count
182873,Mason,movie,Green Street 3: Never Back Down,2013-10-21,4.4065,5.4,157,1
57165,Minotaur,movie,Wrath of the Titans,2012-03-28,6.9248,5.751,4340,1
57243,Creature,tv,Doctor Who,2020-01-12,49.1176,7.6,3202,1
272,League of Shadows Warrior,movie,Batman Begins,2005-06-10,16.4422,7.717,21799,1
2270,Pirate,movie,Stardust,2007-08-10,5.851,7.3,4227,1
840808,Noruk,movie,Middle Earth: Shadow of War 'Friend or Foe',2017-09-18,0.4391,0.0,0,1
315623,Wooden King,movie,"Doctor Who: The Doctor, the Widow and the Wardrobe",2011-12-25,0.3932,7.1,136,1
296271,Beast of the Ground,movie,The Devil Conspiracy,2023-01-13,6.1454,6.5,435,1
338969,Monster Garbinger,movie,The Toxic Avenger Unrated,2025-08-28,12.9503,6.0,24,1
228066,Nathaniel / Prometheus 2,movie,Victor Frankenstein,2015-11-10,1.7955,5.945,2182,1
2268,Giant Gyptian (uncredited),movie,The Golden Compass,2007-12-04,6.0545,6.079,4677,1
1399,White Walker #2,tv,Game of Thrones,2011-04-17,119.6399,8.458,25542,1
533721,Self,movie,The Stories: The Making of 'Rogue One: A Star Wars Story',2017-04-04,1.649,5.6,7,1
2486,Razac #1,movie,Eragon,2006-12-14,4.8712,5.121,3345,1
493529,Gorg,movie,Dungeons & Dragons: Honor Among Thieves,2023-03-23,8.6229,7.334,4146,1
64073,Quill Goddess,tv,Class,2016-11-26,1.6399,6.4,114,1
5471,Grendels Father,movie,Beowulf & Grendel,2005-09-14,2.4673,5.5,235,1
7453,Vogon Soldier,movie,The Hitchhiker's Guide to the Galaxy,2005-04-28,3.2566,6.676,4025,1
479455,Luca Brasi,movie,Men in Black: International,2019-06-12,5.7433,5.903,5130,1
266647,Growler,movie,Pan,2015-09-24,5.0256,5.956,2778,1
188207,Humbaba,movie,The Legend of Hercules,2014-01-10,2.7657,4.8,1360,1
330459,Darth Vader,movie,Rogue One: A Star Wars Story,2016-12-14,6.4676,7.501,15871,1
71676,Grannik,movie,Ghost Rider: Spirit of Vengeance,2011-12-10,7.8885,5.006,3913,1
68727,60's Robber,movie,Trance,2013-03-27,2.3236,6.623,2249,1
1074243,Mark White,movie,The Dealer,2006-01-10,3.507,0.0,0,1
269,Chris,tv,One Tree Hill,2008-10-20,23.2232,7.776,536,1
13718,Bar Brawler,movie,Dead Man's Cards,2006-08-21,3.0304,6.1,5,1
76757,Falque,movie,Jupiter Ascending,2015-02-04,8.1496,5.459,6899,1
384018,Eteon's Uber Merc,movie,Fast & Furious Presents: Hobbs & Shaw,2019-07-31,12.5467,6.846,7488,1
228092,Gym Attendant,tv,Significant Other,2023-06-08,0.7189,7.2,4,1
118340,Mean Guard,movie,Guardians of the Galaxy,2014-07-30,7.2499,7.905,28885,1
12445,Knight of Hogwarts (uncredited),movie,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,16.7015,8.084,21295,1
